Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
get all characters,2000,5,4,11,15,22,0,245,0.000%,105.90416,326.01,13.03
get character by ID,2000,4,4,8,10,28,0,299,0.000%,74.06310,16.84,9.32
create character,2000,5,4,8,10,27,0,299,0.000%,74.06310,17.00,16.40
change character,2000,5,4,8,10,28,0,303,0.000%,74.08231,16.76,16.62
delete character,2000,5,4,8,10,30,0,244,0.000%,51.61424,12.55,10.83
TOTAL,10000,5,4,9,11,27,0,303,0.000%,257.79176,206.47,46.64
