Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
get all characters,19932,11,6,17,31,137,0,3523,0.156%,190.53081,1062.74,23.41
get character by ID,19932,11,5,16,37,144,0,3523,0.206%,190.53810,44.61,23.93
create character,19932,12,5,17,46,154,0,6809,0.201%,190.54356,44.61,42.11
change character,19932,13,5,17,50,161,0,6792,0.186%,190.56542,44.53,42.66
delete character,19932,13,5,17,52,152,0,13119,0.171%,190.58182,47.08,39.93
TOTAL,99660,12,5,17,44,150,0,13119,0.184%,952.46287,1243.30,171.99
